Date,Open,High,Low,Close,Volume,Market Cap
Apr-02-2023,28170.7772,28427.7346,27405.98121,27761.45867,36019258149,5.40997E+11
Apr-01-2023,28452.74021,28515.9436,27879.0548,28188.1801,26115369180,5.46545E+11
Mar-31-2023,28467.88285,28789.4078,28305.2465,28464.81402,36557108999,5.49875E+11
Mar-30-2023,28028.48413,28614.0378,27663.05039,28467.19663,45077223851,5.45063E+11
Mar-29-2023,28348.5437,29156.3807,27774.748,28031.5952,46258179086,5.48528E+11
Mar-28-2023,27266.6718,28586.0011,27252.7029,28370.7692,42482154098,5.42796E+11
Mar-27-2023,27131.2072,27446.1624,26676.9503,27259.2207,43061233764,5.2233E+11
Mar-26-2023,27970.49883,28016.6155,26698.4797,27157.5701,34642356203,5.32355E+11
Mar-25-2023,27493.601,28139.20798,27430.9137,27983.58903,27111362646,5.3664E+11
Mar-24-2023,27450.90702,27747.3921,27183.6656,27464.6126,42315985685,5.31266E+11
Mar-23-2023,28296.5687,28356.28282,27110.4536,27415.93409,48378495417,5.40178E+11
Mar-22-2023,27261.75281,28619.4139,27156.7906,28318.2186,59835056100,5.3632E+11
Mar-21-2023,28123.81235,28706.6413,26718.214,27273.8081,62381365931,5.41375E+11
Mar-20-2023,27723.8116,28399.7677,27344.4061,28119.54921,75753121152,5.39484E+11
Mar-19-2023,27960.5165,28431.5567,27167.99497,27688.0737,81159326336,5.37935E+11
Mar-18-2023,26900.8707,28330.03813,26849.0627,27911.812,59951376540,5.29721E+11
Mar-17-2023,27388.766,27635.6631,26820.13702,26891.62797,87183454009,5.2795E+11
Mar-16-2023,24998.6655,27710.0166,24899.2568,27310.1766,84113368149,5.07748E+11
Mar-15-2023,24286.70022,25107.0673,24182.3388,25011.182,92591547938,4.76135E+11
Mar-14-2023,24694.4961,25026.9871,23970.29721,24276.66589,97610468466,4.75086E+11
Mar-13-2023,24110.2102,26263.9676,24013.12302,24694.6951,94466753002,4.78478E+11
Mar-12-2023,21996.35382,24342.77464,21828.19362,24063.56245,81743296620,4.43502E+11
Mar-11-2023,20452.2228,21952.79781,20288.5161,21952.79781,44270891662,3.97881E+11
Mar-10-2023,20152.93496,20633.2632,19806.0233,20494.9368,65553563733,3.90472E+11
Mar-09-2023,20370.0069,20370.0069,19596.8698,20133.73982,71847249599,3.85553E+11
Mar-08-2023,21704.00142,21802.77142,20216.5488,20355.8604,45238575975,4.13719E+11
Mar-07-2023,22197.6588,22277.2811,21660.4812,21692.94463,47170430250,4.25863E+11
Mar-06-2023,22402.4204,22501.16706,21988.52287,22195.0144,35188296875,4.29737E+11
Mar-05-2023,22428.6582,22584.5227,22333.2367,22409.4946,27238556224,4.30778E+11
Mar-04-2023,22347.03072,22609.38677,22265.291,22434.9936,24779491797,4.30827E+11
Mar-03-2023,22354.893,22397.6782,22188.8327,22339.03801,31121925017,4.29117E+11
Mar-02-2023,23466.6755,23466.6755,22190.8158,22333.7667,49445760676,4.30799E+11
Mar-01-2023,23638.9824,23739.2218,23234.9795,23465.2689,41566999708,4.50217E+11
Feb-28-2023,23126.84311,23867.99,23046.3779,23659.4001,43583459058,4.53363E+11
Feb-27-2023,23495.24032,23579.3235,23065.74238,23139.07679,42623345223,4.4921E+11
Feb-26-2023,23556.2553,23876.8245,23174.93017,23508.2647,37836599964,4.50622E+11
Feb-25-2023,23164.8803,23657.08022,23068.1735,23531.2037,30763870151,4.46967E+11
Feb-24-2023,23190.4354,23200.5083,22828.3886,23170.0132,43845686169,4.42895E+11
Feb-23-2023,23938.3238,24105.2257,22959.57221,23197.7565,52740902471,4.54128E+11
Feb-22-2023,24189.6192,24582.6995,23674.5002,23949.1025,58942510066,4.6364E+11
Feb-21-2023,24453.2537,24466.1821,23611.2474,24192.9805,68682894492,4.6152E+11
Feb-20-2023,24840.3916,25099.5248,24175.3831,24426.1719,56920857216,4.74555E+11
Feb-19-2023,24295.4446,25051.76752,23907.48416,24797.2219,57637586702,4.73849E+11
Feb-18-2023,24632.5653,25115.7876,24323.5789,24332.2815,39183466297,4.73531E+11
Feb-17-2023,24566.9638,24816.00713,24458.9452,24644.0369,77159018994,4.72949E+11
Feb-16-2023,23549.9584,24978.7723,23540.3108,24558.3155,90976381554,4.61494E+11
Feb-15-2023,24331.04759,25188.2965,23531.7304,23531.7304,86355573589,4.72944E+11
Feb-14-2023,22202.6563,24324.46403,22058.06124,24324.46403,74461915526,4.39677E+11
Feb-13-2023,21773.52817,22263.51499,21611.94293,22200.0306,68706157127,4.20778E+11
Feb-12-2023,21784.9464,21884.0971,21435.23949,21810.99049,61574705934,4.1659E+11
Feb-11-2023,21864.4863,22087.18786,21676.75867,21753.75323,48142213404,4.20085E+11
Feb-10-2023,21635.5236,21889.2509,21609.124,21865.7753,69262238052,4.16995E+11
Feb-09-2023,21788.52851,21933.0975,21488.4665,21648.2846,98156502357,4.18381E+11
Feb-08-2023,22961.8383,22984.0285,21754.61261,21799.18211,85459684181,4.33062E+11
Feb-07-2023,23251.8694,23373.521,22719.144,22949.2132,78220219463,4.43883E+11
Feb-06-2023,22756.372,23322.6114,22756.372,23261.2186,73192527388,4.41665E+11
Feb-05-2023,22931.35882,23145.1318,22670.6895,22747.465,64529839445,4.40156E+11
Feb-04-2023,23324.6017,23427.10098,22838.9586,22938.18469,50759004587,4.45705E+11
Feb-03-2023,23431.6868,23565.3339,23282.52298,23315.8076,68664568348,4.49441E+11
Feb-02-2023,23468.9785,23685.8328,23272.5314,23429.76,90857177060,4.51136E+11
Feb-01-2023,23719.3791,24244.3654,23427.4962,23484.9488,95457905636,4.57607E+11
Jan-31-2023,23130.9161,23767.4245,22826.0582,23706.0643,70420783232,4.4514E+11
Jan-30-2023,22833.314,23223.475,22744.93,23153.2004,74707896121,4.41278E+11
Jan-29-2023,23749.461,23786.6488,22672.98673,22814.4792,79832137387,4.47342E+11
Jan-28-2023,23024.957,23926.159,22980.0444,23775.9829,60729082837,4.50311E+11
